"id","userid","time","ibi"
96647778,"44a31946-60f2-4da3-9edf-a1c278288579",1640116693598,651
96647777,"44a31946-60f2-4da3-9edf-a1c278288579",1640116692969,645
96647776,"44a31946-60f2-4da3-9edf-a1c278288579",1640116692429,638
96647775,"44a31946-60f2-4da3-9edf-a1c278288579",1640116691619,636
96647774,"44a31946-60f2-4da3-9edf-a1c278288579",1640116690988,627
96647773,"44a31946-60f2-4da3-9edf-a1c278288579",1640116690448,646
96647772,"44a31946-60f2-4da3-9edf-a1c278288579",1640116689729,650
96647771,"44a31946-60f2-4da3-9edf-a1c278288579",1640116689098,658
96647770,"44a31946-60f2-4da3-9edf-a1c278288579",1640116688469,648
96647769,"44a31946-60f2-4da3-9edf-a1c278288579",1640116687749,629
96647768,"44a31946-60f2-4da3-9edf-a1c278288579",1640116687122,605
96647767,"44a31946-60f2-4da3-9edf-a1c278288579",1640116686579,618
96647766,"44a31946-60f2-4da3-9edf-a1c278288579",1640116685949,631
96647765,"44a31946-60f2-4da3-9edf-a1c278288579",1640116685410,637
96647764,"44a31946-60f2-4da3-9edf-a1c278288579",1640116684688,643
96647763,"44a31946-60f2-4da3-9edf-a1c278288579",1640116683969,652
96647762,"44a31946-60f2-4da3-9edf-a1c278288579",1640116683339,665
96647761,"44a31946-60f2-4da3-9edf-a1c278288579",1640116682709,675
96647760,"44a31946-60f2-4da3-9edf-a1c278288579",1640116682078,675
96647759,"44a31946-60f2-4da3-9edf-a1c278288579",1640116681359,674
96647758,"44a31946-60f2-4da3-9edf-a1c278288579",1640116680729,666
96647757,"44a31946-60f2-4da3-9edf-a1c278288579",1640116680008,662
96647756,"44a31946-60f2-4da3-9edf-a1c278288579",1640116679469,667
96647755,"44a31946-60f2-4da3-9edf-a1c278288579",1640116678659,678
96647754,"44a31946-60f2-4da3-9edf-a1c278288579",1640116678029,700
96647753,"44a31946-60f2-4da3-9edf-a1c278288579",1640116677398,760
96647752,"44a31946-60f2-4da3-9edf-a1c278288579",1640116676589,743
96647751,"44a31946-60f2-4da3-9edf-a1c278288579",1640116675869,684
96647750,"44a31946-60f2-4da3-9edf-a1c278288579",1640116675149,665
96647749,"44a31946-60f2-4da3-9edf-a1c278288579",1640116674429,653
96647748,"44a31946-60f2-4da3-9edf-a1c278288579",1640116673799,651
96647747,"44a31946-60f2-4da3-9edf-a1c278288579",1640116673168,653
96647746,"44a31946-60f2-4da3-9edf-a1c278288579",1640116672539,661
96647745,"44a31946-60f2-4da3-9edf-a1c278288579",1640116671819,672
96647744,"44a31946-60f2-4da3-9edf-a1c278288579",1640116671188,672
96647743,"44a31946-60f2-4da3-9edf-a1c278288579",1640116670558,666
96647742,"44a31946-60f2-4da3-9edf-a1c278288579",1640116669928,666
96647741,"44a31946-60f2-4da3-9edf-a1c278288579",1640116669118,656
96647740,"44a31946-60f2-4da3-9edf-a1c278288579",1640116668491,643
96647739,"44a31946-60f2-4da3-9edf-a1c278288579",1640116667859,642
96647738,"44a31946-60f2-4da3-9edf-a1c278288579",1640116667229,607
96647737,"44a31946-60f2-4da3-9edf-a1c278288579",1640116666599,607
96647736,"44a31946-60f2-4da3-9edf-a1c278288579",1640116666058,573
96647735,"44a31946-60f2-4da3-9edf-a1c278288579",1640116665429,549
96647734,"44a31946-60f2-4da3-9edf-a1c278288579",1640116664798,595
96647733,"44a31946-60f2-4da3-9edf-a1c278288579",1640116664258,618
96647732,"44a31946-60f2-4da3-9edf-a1c278288579",1640116663629,623
