"id","userid","time","ibi"
96667833,"44a31946-60f2-4da3-9edf-a1c278288579",1640795009691,758
96667832,"44a31946-60f2-4da3-9edf-a1c278288579",1640795008972,750
96667831,"44a31946-60f2-4da3-9edf-a1c278288579",1640795008251,747
96667830,"44a31946-60f2-4da3-9edf-a1c278288579",1640795007441,742
96667829,"44a31946-60f2-4da3-9edf-a1c278288579",1640795006721,721
96667828,"44a31946-60f2-4da3-9edf-a1c278288579",1640795006001,702
96667827,"44a31946-60f2-4da3-9edf-a1c278288579",1640795005281,717
96667826,"44a31946-60f2-4da3-9edf-a1c278288579",1640795004561,760
96667825,"44a31946-60f2-4da3-9edf-a1c278288579",1640795003841,781
96667824,"44a31946-60f2-4da3-9edf-a1c278288579",1640795003033,809
96667823,"44a31946-60f2-4da3-9edf-a1c278288579",1640795002311,784
96667822,"44a31946-60f2-4da3-9edf-a1c278288579",1640795001501,784
96667821,"44a31946-60f2-4da3-9edf-a1c278288579",1640795000691,779
96667820,"44a31946-60f2-4da3-9edf-a1c278288579",1640794999881,774
96667819,"44a31946-60f2-4da3-9edf-a1c278288579",1640794999161,795
96667818,"44a31946-60f2-4da3-9edf-a1c278288579",1640794998351,812
96667817,"44a31946-60f2-4da3-9edf-a1c278288579",1640794997541,811
96667816,"44a31946-60f2-4da3-9edf-a1c278288579",1640794995741,631
96667815,"44a31946-60f2-4da3-9edf-a1c278288579",1640794995021,923
96667814,"44a31946-60f2-4da3-9edf-a1c278288579",1640794994121,792
96667813,"44a31946-60f2-4da3-9edf-a1c278288579",1640794993311,762
96667812,"44a31946-60f2-4da3-9edf-a1c278288579",1640794992501,818
96667811,"44a31946-60f2-4da3-9edf-a1c278288579",1640794991690,796
96667810,"44a31946-60f2-4da3-9edf-a1c278288579",1640794990971,817
96667809,"44a31946-60f2-4da3-9edf-a1c278288579",1640794990160,806
96667808,"44a31946-60f2-4da3-9edf-a1c278288579",1640794989351,785
96667807,"44a31946-60f2-4da3-9edf-a1c278288579",1640794988540,815
96667806,"44a31946-60f2-4da3-9edf-a1c278288579",1640794987730,821
96667805,"44a31946-60f2-4da3-9edf-a1c278288579",1640794986920,803
96667804,"44a31946-60f2-4da3-9edf-a1c278288579",1640794986110,812
96667803,"44a31946-60f2-4da3-9edf-a1c278288579",1640794985300,807
96667802,"44a31946-60f2-4da3-9edf-a1c278288579",1640794984491,817
96667801,"44a31946-60f2-4da3-9edf-a1c278288579",1640794983681,807
96667800,"44a31946-60f2-4da3-9edf-a1c278288579",1640794982870,806
96667799,"44a31946-60f2-4da3-9edf-a1c278288579",1640794981973,797
96667798,"44a31946-60f2-4da3-9edf-a1c278288579",1640794981250,792
96667797,"44a31946-60f2-4da3-9edf-a1c278288579",1640794980441,822
